Aspect_Ratio,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_writter_credit,Movie_Writter_Oscar_Awards,Music_Writter_Other_Awards,Movie_music_credit,Music_Oscar_Awards,Music_Other_Awards,Movie_cinematography_credit,Cinematograpy_Oscar_Awards,Cinematograpy_Other_Awards,Budget,Movie_ratings,IMDb_Label
2.35,110,0,17,132,1,37,174,0,0,37,1,6,37,1,6,4,0,0,72,0,43,32,0,7,84000000.00,7.3,CLASS-3
1.85,132,0,22,51,0,53,76,0,1,36,1,4,36,1,4,13,0,0,21,0,12,94,0,3,80000000.00,5.4,CLASS-2
2.35,8,0,0,44,0,1,12,0,0,7,2,4,7,2,4,9,0,1,4,0,1,0,0,0,80000000.00,5.2,CLASS-2
2.35,51,0,1,21,0,0,4,0,0,0,0,0,0,0,0,12,0,6,30,0,21,0,0,2,78000000.00,6.4,CLASS-2
1.85,39,0,29,34,0,2,70,0,14,3,0,22,3,0,22,14,0,1,82,0,6,0,0,0,76000000.00,7.6,CLASS-4
2.35,99,1,57,33,1,14,49,0,1,10,0,1,10,0,1,16,0,1,57,0,16,13,0,0,75000000.00,7.3,CLASS-3
2.35,66,0,52,106,0,6,31,0,0,23,0,5,23,0,5,1,0,0,10,0,5,26,0,0,50000000.00,6.7,CLASS-3
2.35,37,0,16,40,1,57,60,0,22,11,0,121,11,0,121,5,0,10,100,1,121,41,1,26,250000000.00,8.4,CLASS-4
2.35,56,0,2,45,0,14,44,0,1,7,2,34,7,2,34,13,2,34,26,1,80,16,0,0,263700000.00,6.6,CLASS-3
1.85,14,0,17,78,0,33,53,0,61,11,0,25,11,0,25,20,0,25,70,0,43,48,0,13,220000000.00,8,CLASS-4
1.85,56,0,49,22,0,8,37,0,1,19,0,7,19,0,7,9,0,3,82,0,80,43,0,3,225000000.00,6.8,CLASS-3
2.35,41,1,62,18,0,13,14,0,0,52,0,7,52,0,7,5,0,0,138,2,51,30,0,1,230000000.00,6.9,CLASS-3
2.35,82,0,18,38,0,10,76,0,14,13,0,3,13,0,3,3,0,0,32,0,8,51,0,0,209000000.00,5.8,CLASS-2
2.35,63,0,18,62,0,3,35,0,3,6,1,55,6,1,55,11,0,1,32,0,65,73,2,168,200000000.00,7.7,CLASS-4
2.35,55,0,18,167,0,1,84,0,23,5,1,6,5,1,6,4,1,2,26,0,12,4,0,2,185000000.00,7.1,CLASS-3
2.35,14,0,12,45,0,34,5,0,3,3,1,2,3,1,2,1,0,1,92,0,68,27,0,15,170000000.00,6.1,CLASS-2
2.35,32,0,2,103,0,4,57,0,2,10,1,19,10,1,19,3,1,19,15,0,11,2,0,1,165000000.00,7.7,CLASS-4
1.85,82,0,17,19,0,7,17,0,4,6,0,2,6,0,2,0,0,0,6,0,7,0,0,0,150000000.00,5.7,CLASS-2
1.85,65,0,58,64,0,17,270,0,31,32,0,27,32,0,27,3,0,0,82,0,80,17,0,13,100000000.00,6.2,CLASS-2
1.85,38,0,4,71,0,8,43,0,10,6,0,7,6,0,7,4,0,7,100,1,121,0,0,0,145000000.00,6.8,CLASS-3
1.85,36,0,22,3,0,0,19,0,0,5,1,16,5,1,16,3,0,0,53,2,99,0,0,0,145000000.00,7.3,CLASS-3
2.35,15,0,34,45,0,37,19,0,19,15,1,18,15,1,18,0,0,0,51,0,29,38,1,16,120000000.00,5.5,CLASS-2
2.35,37,0,26,88,0,0,166,0,9,2,0,3,2,0,3,15,0,3,92,0,68,72,1,16,125000000.00,6.6,CLASS-3
1.85,13,0,3,37,0,2,74,0,27,20,2,102,20,2,102,2,0,0,26,1,33,18,1,24,120000000.00,7.9,CLASS-4
2.35,36,0,54,17,1,51,43,0,3,38,0,44,38,0,44,1,0,0,25,0,4,52,0,1,130000000.00,7,CLASS-3
2.35,40,1,67,99,2,67,33,0,0,18,2,147,18,2,147,22,2,165,0,3,19,45,3,18,100000000.00,8.4,CLASS-4
2.35,34,0,1,64,0,47,90,0,21,16,0,2,16,0,2,4,0,0,55,0,16,58,0,0,92000000.00,6.6,CLASS-3
2.35,65,2,69,25,0,2,123,1,23,17,0,39,17,0,39,15,0,4,16,0,8,36,0,14,102000000.00,7.4,CLASS-3
1.85,78,0,12,24,0,1,59,0,0,11,0,4,11,0,4,18,0,3,9,0,15,50,0,0,95000000.00,6.1,CLASS-2
2.35,50,0,18,28,0,8,33,0,22,8,0,1,8,0,1,4,0,0,16,0,41,14,0,4,95000000.00,6.6,CLASS-3
1.85,130,0,21,49,0,49,72,0,1,20,0,7,20,0,7,23,0,1,29,0,21,1,0,0,85000000.00,7.1,CLASS-3
2.35,50,2,68,49,0,11,54,0,6,7,0,3,7,0,3,0,0,0,19,0,22,47,0,0,85000000.00,6.7,CLASS-3
1.85,58,1,41,68,0,7,63,0,9,10,0,6,10,0,6,3,0,0,24,8,48,25,0,0,85000000.00,5.6,CLASS-2
2.35,35,0,1,11,0,14,36,0,1,10,0,3,10,0,3,6,0,0,4,0,1,43,1,28,35000000.00,7.1,CLASS-3
2.35,22,1,78,29,0,11,25,0,1,2,0,8,2,0,8,9,0,8,92,0,68,22,0,3,78000000.00,7.2,CLASS-3
1.85,29,0,14,44,0,9,36,0,5,8,0,0,8,0,0,3,0,0,33,0,12,51,0,0,79000000.00,5.8,CLASS-2
2.35,5,0,3,110,0,5,50,0,0,10,0,6,10,0,6,5,0,0,23,0,1,35,0,2,70000000.00,6.4,CLASS-2
2.35,48,0,0,5,0,0,6,0,0,19,0,3,19,0,3,4,0,3,5,0,2,34,0,2,75000000.00,5.9,CLASS-2
2.35,44,0,0,35,0,2,12,0,0,13,0,11,13,0,11,3,0,0,15,0,11,28,0,11,69000000.00,5.9,CLASS-2
2.35,60,0,16,124,0,11,136,0,3,54,2,167,54,2,167,3,0,24,222,5,184,38,2,36,65000000.00,7.3,CLASS-3
1.85,36,1,17,18,1,14,38,1,68,15,1,35,15,1,35,16,0,2,0,0,1,12,1,8,61000000.00,7.6,CLASS-4
