Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_writter_credit,Movie_Writter_Oscar_Awards,Music_Writter_Other_Awards,Movie_music_credit,Music_Oscar_Awards,Music_Other_Awards,Movie_cinematography_credit,Cinematograpy_Oscar_Awards,Cinematograpy_Other_Awards,Budget,Movie_ratings,IMDb_Label
4,0,6,13,0,6,64,0,6,27,2,16,85000000.00,6.5,CLASS-2
9,0,1,20,0,1,9,0,5,45,0,0,80000000.00,6.3,CLASS-2
7,0,6,0,0,0,13,0,13,19,0,1,40000000.00,6.8,CLASS-3
7,0,3,7,0,0,87,0,32,0,0,0,35000000.00,5.4,CLASS-2
8,0,16,27,0,16,0,0,3,56,2,28,75000000.00,6.3,CLASS-2
16,2,156,20,2,165,0,3,19,34,0,12,75000000.00,8.3,CLASS-4
26,0,6,11,0,3,63,1,14,81,0,1,75000000.00,4.5,CLASS-1
6,0,58,8,0,58,15,1,14,31,0,10,70000000.00,7.2,CLASS-3
1,0,0,89,0,9,29,1,8,0,0,0,65000000.00,6.3,CLASS-2
2,0,1,4,0,9,34,2,112,50,0,0,60000000.00,5.5,CLASS-2
8,0,9,3,0,9,13,0,13,4,0,0,60000000.00,7.7,CLASS-4
13,0,7,30,0,8,7,0,15,32,0,3,60000000.00,4.9,CLASS-1
32,4,131,4,0,1,6,0,3,15,0,3,60000000.00,7.3,CLASS-3
